m,g,z,target
2.230581397170053,4.711819100918496,3.5298939897755854,37.0995248200487
1.2480208444295218,4.611747940513814,1.3004510121284656,7.484820652986203
4.955140337360718,2.710467319142201,3.888334211617088,52.22322895006721
3.876361185202307,3.0432227904319356,2.8674488296144864,33.82623490200458
4.030278558312925,3.3328004988614897,3.9670101998644287,53.285334789670124
2.055032421350989,4.80932122851127,4.415166501387889,43.63646386758768
4.256928476333663,2.1231547963110904,2.9627964635088038,26.77810437924868
3.2760823527962066,4.1813812695971695,1.5492142393177857,21.221987769329644
2.8377908756558683,4.9005600101136615,1.3497127884503382,18.770137867733435
1.5228249664990336,2.8526291344889345,2.850637404012479,12.383325286564615
2.272906224221236,3.8498370980828844,4.933421179777804,43.16900761657335
2.3885591912710917,1.411326318867105,4.783398780235485,16.1250116469474
1.1976557754944537,2.548596908154047,4.547636087835562,13.8809397514576
4.855380986739556,2.793800605053332,1.781448996870858,24.165295676338804
4.859002472338842,2.441587336956814,1.9138509685583163,22.705313366261027
1.4426684068873556,1.691796131198981,1.6589971550046219,4.049115732150589
2.3571525468182557,1.2601061396994027,2.3004692330425707,6.832997257105187
3.2536298515727027,2.6587919743850112,4.858632578707885,42.030694008256596
2.9472745840509336,3.2152816174052266,2.0450752780712684,19.379783242634787
3.2596931471724604,4.771295342275467,1.296863967489641,20.17007176524593
4.444215307736394,1.3142244867983788,3.6694405665203194,21.432088974842454
4.26148498437571,2.801592078111007,2.792947508044802,33.34483990855362
2.640405517071603,1.4019591984902147,4.792811012315573,17.741744082494243
3.092423240609251,1.8712482745237131,4.982289333572625,28.830972099849554
1.754241855000152,1.9922891422982576,4.0695796411252605,14.223005856583496
2.8241912346118463,4.036769363626514,2.6379459005019097,30.07418885915376
4.049814090697582,3.1769853036103934,4.518102919161301,58.130815094022836
2.013632897836217,4.0028164764202145,3.121663535999052,25.16124161342413
1.9832104915609916,1.9588367277223946,4.8850763149448415,18.9774738773527
4.9871685408088275,1.2054138360892797,3.162994155431168,19.014661870584998
1.9039768591855974,2.1557540558280066,3.1829568136849025,13.064464818753432
4.850128017402664,4.226184459349123,1.9229378545983389,39.415487233134535
1.9944098945612594,1.2260912745806993,1.0190828711072686,2.4919924595686966
3.851959248590049,3.3181489478936195,3.3270496016819298,42.52426703245695
1.1795295332954496,1.6303636271386126,1.2677896828198127,2.4380382241565206
3.694917091378415,4.575550247537999,4.301586016341427,72.72381252645091
2.665735272312819,1.2744393095425455,4.777658323994061,16.231223761353153
3.0547115700478376,2.824049002568325,3.51196169176441,30.296482458858325
3.0424700854751787,4.780756393219165,3.8500424202675463,56.000054018277204
2.5196059276570675,1.7054683290207882,1.0790509437896696,4.636798562991319
1.071790575353719,1.3313139626484833,1.5546616548529903,2.218330792470438
4.230877627068748,3.4349542029549456,1.821025249039005,26.464724826775047
2.649873004529849,4.330419251914301,2.821219468874535,32.37366570833528
2.1392770211603818,4.559217465469348,3.49775976335114,34.11515206477819
4.581709846456331,2.572964451480669,3.1395769226544683,37.01114292478422
3.0639481564392446,1.4206842434965394,3.2469502591439747,14.133659097695274
4.933403745432932,3.3232025517443247,4.286629739551488,70.27800822926636
2.8240644147185345,4.4813769240591865,1.1878744480508971,15.033379207571324
3.845245030570569,4.29294044652376,4.936588733073355,81.49028394286547
1.3601288714466784,3.0026729448265668,4.046975024477635,16.52793569619205
2.7315054937858503,1.501861771804677,2.2175132799034247,9.097001590439382
2.7792922285823956,4.236498834165735,3.1040190953505205,36.54817439794903
1.0369464501823829,1.40952074691812,3.1842846391718114,4.654142579272803
4.062820858825269,1.3054079901138675,2.494858011268051,13.23182577777236
4.051999843468877,4.351044023183908,2.5522700025748746,44.997616858028955
2.0171278516540854,3.1845836458072423,2.927406764034059,18.804819035940852
4.880219915979582,4.927112285163448,1.7827727074458282,42.867467710190084
4.200298279167205,4.6809124346976,4.990289432821211,98.11522054233671
3.504902583362658,1.6893888402856958,4.798019170137969,28.40975911349558
1.5848371109364892,3.0572005867434955,1.4730663314786874,7.137249351600074
2.630485126821351,1.547750631836235,4.63641163343641,18.876385036776902
1.5905228423951434,3.5845256692293748,4.156047532686818,23.694748934069047
1.7983927288620376,1.648794383021618,1.2919861323096864,3.8309712199249204
1.9854380716172066,4.541933738679506,3.477337898185201,31.357687898599135
2.3383031227093647,3.3801838064570475,3.6087650438420713,28.523297640393096
3.05600933197009,2.760302488096535,2.3524513038182016,19.84412688057595
4.09481901238771,3.3085852245273,2.9242952370592286,39.61852054941253
3.743737751372527,1.92115539627379,3.9918188012506217,28.71036628114215
1.8799428722115006,4.830069774390914,4.97063709652986,45.13465356501914
1.214950483635818,2.5329955001981856,3.3759329801522315,10.389312577476318
1.9336196470909761,1.96091366725399,3.8899951897484444,14.749543802904306
1.295693230110044,3.7102327464289324,1.9360954088080486,9.307436863453999
4.18098144920017,1.0849139311915472,3.6193653681547753,16.417459480216316
1.2742949601986528,4.326131746929242,1.0732483327264712,5.916568938351448
3.9577634891798654,3.559451663558806,1.0379784446324969,14.622487952737467
