m,a,target
3.993071925158795,2.5686918454034613,10.256971292264897
1.7208108292651603,1.1646263446571665,2.004101625933551
2.556092578129931,4.693202274205236,11.996259500758518
1.1504007262592504,2.6249398982859455,3.0197327653750348
1.0471509567228972,4.777128732559726,5.002374922688358
4.985071486539377,3.8908979587213364,19.396404471056
2.9527866322217475,4.673279808954389,13.799198148512321
2.48809905588768,4.293070154706262,10.681583798784226
1.7846883782559133,3.587586807430796,6.4027244812059765
4.228768980354185,1.2717560800935956,5.37796266207663
3.823010878120592,4.355263088236442,16.650218163405
1.0062247917185285,3.771289602223616,3.7947650945077105
4.084906692160946,4.831966057924928,19.738130486312084
1.4459309806028395,1.5688898725220364,2.268506471833652
4.794530720736132,1.3510941513618953,6.47786241531152
2.3309443358220228,3.0755199229043924,7.168865744001778
2.8044111013060444,2.4397294961178715,6.842004483096761
1.0199236226950137,4.841094729363951,4.937546874182617
4.297570753777887,3.815088871869004,16.395614358807702
2.2326730169209488,2.783976280319464,6.215708720817219
3.225787504677788,1.7688349904798248,5.705885810126673
4.706403188238697,2.7715256403092474,13.04391710983674
1.6248895328622543,2.8651456671138895,4.655545204619
4.469318451723686,1.0365702226648486,4.632762422663338
3.000955723370219,2.0288616422801025,6.0885239573267755
4.6978246962264825,1.9814867870389925,9.308677563398243
4.289420200745703,2.5240857435055744,10.826864376607048
2.7719201226363555,2.6961533026262248,7.4735215932621
1.354847082858976,2.070122225981895,2.8046990590331005
1.1207898195281025,1.4505849864168456,1.6258008851363115
4.496923239336303,1.554718294470879,6.991448829027397
2.897139669833475,3.75280865729818,10.872410834353055
3.654779631711006,4.823558903603155,17.629044833247086
4.526593656835409,2.379417450531341,10.770655938538649
2.2186359659387884,1.5711455647625385,3.4858000577073778
4.583052073565391,2.04023121008196,9.350485877918954
1.1101297577107534,1.608700210137454,1.7858659745091299
2.11970271493653,1.7789586252962692,3.7708634278002595
4.247065580398495,3.6486420469142704,15.496022052644307
4.412881273294587,2.5397093020907806,11.20743561880847
4.779341581430345,2.001817143948738,9.567367914494339
2.212045089855614,3.3246316473636277,7.354235111129293
4.120942342464546,4.591295788557788,18.920465221846936
4.940521210595341,1.09771605558088,5.4232894558083915
3.1080240604470193,3.386875095680265,10.526489287103065
2.010385158552086,3.687983968858968,7.414268235972088
1.1558492615887266,2.7326762959579485,3.158561878844011
4.038612251135236,4.68140699063148,18.90638762491443
1.5553815377538678,1.6807487130781213,2.6142055179252828
2.547770425723851,1.046343241143941,2.665842364942573
2.2371115266130155,4.36117394387238,9.756432499401246
2.6674026918146074,2.5831106014364553,6.89019617152645
4.6239959797302514,4.319596236891047,19.973795633442123
2.703791044887448,4.981481404558124,13.468884811917603
4.650977250494492,1.4603469265970626,6.792040333432488
4.221603438802854,4.330183195738609,18.280316269776442
2.153513328274017,4.042050701065533,8.704610058303961
2.272356076205329,4.1062193001848915,9.330792377006732
2.479376898405702,2.758008711086844,6.838143083870407
3.422588766480408,3.4364292491335484,11.761484144889186
3.696250068565243,1.9905681441548873,7.35763763931629
4.888919342824814,1.1266009258648761,5.507861058105138
4.706064253988246,3.911091858918599,18.405849591321257
3.447486885702798,1.5553321592137914,5.361987221801362
1.1849551179964437,2.1985581228047097,2.6051926998300945
3.1812304815708043,1.2140910758165444,3.8623035377906816
2.614560885091104,3.263011643565355,8.531342610862811
3.179114901727662,4.428941026492938,14.080112416196707
1.1607054930396679,1.291451882783969,1.498995294343774
4.983048829708709,2.5685292340776953,12.799106593943467
1.2278334816784033,4.330238687685355,5.31681204439923
2.0907197373331723,4.098613190086988,8.569051492208944
1.28849611575199,1.8547689218138137,2.3898625513746055
3.1904444240170826,2.0040374902768954,6.39377023637511
2.4072731862166252,3.5259920643203744,8.488026151251043
2.501199371410865,1.9565313075547097,4.8936748766015175
4.156670083431756,2.372544822075399,9.861886083521728
4.616080462277274,4.123941830984689,19.036447313576396
1.662787932463457,3.46655616024549,5.764147750463058
2.115907760239828,1.426889097249921,3.0191657138727104
2.890914480786339,2.5403900498248224,7.3440503818841085
1.451526680567953,1.7918507640284345,2.600919191583344
2.5461523282064107,3.1818822856873763,8.101556989781649
2.208352182459538,4.795531915403746,10.590223371436231
4.6879053481337305,2.996266932078376,14.046215775326464
1.7941364817419911,4.339272247546532,7.785246643533798
3.8848455922935226,3.717649168356908,14.442492985385014
1.8635728350138216,2.84353526977511,5.299135084156593
3.502633515048235,4.656815882119158,16.311119382119475
3.327962912561923,4.891190357153073,16.277700106885934
2.834897170838033,4.787619599405229,13.5724092574026
4.267629208727712,4.514074895793728,19.264397875673815
1.8908687775127602,3.9619209362214955,7.49147259727535
2.909120896099626,4.668385039622665,13.580896469805175
4.929670405692766,1.7759413937756383,8.754805731140527
1.733047157152936,4.488418620258079,7.778641129950567
3.1817298193614856,3.00268568296624,9.553734575663494
2.172423133233886,1.5813088110885927,3.4352718419954313
1.4952242380043375,2.9729987018596584,4.445299718575992
4.406371923570168,1.1552765939208016,5.0905783474103945
3.3107153662865265,4.625387974292801,15.313343041528086
3.3153170540411843,2.034493315273942,6.744990384460488
3.181338949058706,2.0679179310638003,6.578747857550164
1.7378724272807005,2.7748761567214393,4.822380761884829
3.2745326623447,1.7565994772144413,5.752042362796313
1.3655560577416606,4.705671397172125,6.425858082150059
3.7305674816791883,3.7583970556770225,14.020953839147506
1.205828672238102,3.7153793047759383,4.480110893938892
1.7566044678867576,4.667369041786233,8.198721312078032
2.1768711883766594,1.5286904077455223,3.327762104568995
2.115724870639516,2.041060008454346,4.318321422354561
4.24840915584129,3.666223319311016,15.575616717119765
2.151002578406996,3.7527710746584506,8.07222025776152
1.2958316084875228,4.334787434001717,5.617154573053946
1.2719307743395731,3.910532845195025,4.973927069869243
1.5976540775397536,1.1662360857510907,1.863241837774232
2.5767676018496943,3.494326467176373,9.004067230905978
1.7872569349441423,4.141139830173767,7.401280880051472
1.940089437949991,4.4743178641901675,8.680576830346306
1.7359026219813072,4.487204573828761,7.78935018507586
2.194941588858082,1.7761111134405851,3.8984601493237747
3.019434914492416,1.9798350229668942,5.977982993281135
4.885388286737058,3.4127590176610005,16.67265293033732
