m1,m2,r,target
1.0008026507064205,4.8656106516868185,3.0112620135239694,3.5840570294915106e-11
1.4079366247686247,4.8984066393174786,4.173614043580429,2.6424061635762443e-11
1.0161638072006478,1.5216706286162913,4.860638096110069,4.368013881908479e-12
3.8559372663078224,3.0405261559698773,2.6817450282072195,1.0880026105007898e-10
3.45560909465189,1.4553611955290453,3.3429354019640396,3.00348614425117e-11
2.1227977263929594,3.786761772451974,2.1455374819810737,1.165441794473901e-10
4.592528650296165,2.9176913577050905,2.9176029715842757,1.0505701098004501e-10
2.8187606612244207,1.3201357676361343,4.708221552585918,1.120338395313015e-11
1.2025826683616163,1.23015407397537,4.99454794036142,3.957931557432879e-12
4.534889735462273,4.8131946936567225,1.3771797162806632,7.68077650387968e-10
1.5447761908776352,1.6985455109933998,2.090817570964438,4.0058683738725534e-11
4.382224326908774,3.477433521320076,4.402849196670854,5.246528336996009e-11
4.0734426532756105,3.9462460300906286,1.2818883706701554,6.528772742538253e-10
4.13431699648454,3.5694522092319385,3.2095659316423073,9.560903699030825e-11
1.8683397173279688,4.1103376581350535,4.859067370336684,2.1707694821022675e-11
1.4231039809528676,3.3323497298866185,3.5740060794612574,2.4777805318550973e-11
3.221605671880879,1.2132193460054754,4.22764372928151,1.4594900803918196e-11
1.8620060042421414,1.0298687500942485,1.0310029366631936,1.2040079514321582e-10
4.072868882188367,3.4952980283648944,3.6826273478544467,7.00576064595172e-11
4.239870900445869,1.8880888568571663,3.516527730206944,4.320491663518336e-11
4.439337166074605,1.1628538525080638,3.0145645647845347,3.791231371816661e-11
2.4011746452271785,2.4966158205163786,3.656937976456697,2.991758132877654e-11
3.1542088433069484,4.119164418885447,1.5098383898870078,3.803862827015903e-10
1.1481083077338963,3.797415460306701,2.5579797454581548,4.44695744353557e-11
3.240645667415733,4.740909813258323,4.458602899989036,5.158006149529272e-11
3.9658859687182884,4.653170278759633,1.2458344158325771,7.935142360015166e-10
4.013372227499351,2.681347118678643,3.252705637003449,6.788270795181961e-11
3.844917167053817,1.2770872241510638,2.0676649341224844,7.665375345652005e-11
1.6661729366911788,4.363755973908544,1.2413181232610855,3.149202172956605e-10
2.8014500728188407,2.8169502269351585,3.709269445222901,3.8279962047044954e-11
3.7606970253182146,2.8755540678847358,4.6755437082880515,3.3015041251771955e-11
4.192084177901261,3.0304824004972724,2.0286064366743983,2.0603090253473825e-10
2.199118971562371,4.259408332078741,4.157990141180756,3.615907341787536e-11
4.280533520851645,1.183807448366625,3.003788009015913,3.748233296513301e-11
3.20512390996987,4.212521957063776,3.4933844669570076,7.383808661068234e-11
1.3269957184762302,2.853950073765591,3.7178283129565917,1.82861986964454e-11
1.3581205296742032,4.7380397972380965,2.475575883289744,7.007623080087122e-11
1.8605540958722555,1.5755907073923532,1.2019856319742641,1.3541705419894064e-10
4.299212504938909,2.4004850425860256,4.36876273577467,3.6087533543282597e-11
4.869614003456743,4.602597258774344,3.69882253849421,1.0933437427810955e-10
1.9986402829096113,4.44166152811983,2.653076940644573,8.417179899938617e-11
4.2094761952585955,3.7266431723585924,1.4431939094307689,5.026696869958515e-10
1.1292950936213995,3.650794512116875,2.5993494792432528,4.072411780632044e-11
1.3553497925735103,4.335590561061782,4.064835758409559,2.3735580257122e-11
3.0738670704480393,2.99103620601061,1.9114529263202682,1.6794448263908003e-10
3.1676902037180263,3.72342020450042,2.6125551439042334,1.1532939742063084e-10
1.8419747336167687,1.6219591199442207,3.509150181833853,1.6192200192221298e-11
4.675618512214829,3.893526248038245,3.8722254832506304,8.103023550379637e-11
4.866418609278645,3.237353973635712,1.0277572506517605,9.954163177159602e-10
4.682062445363636,2.510412120491763,2.8094920908775287,9.938315950842034e-11
2.3925489919961045,4.10392734637319,1.1009638732845874,5.406305320035918e-10
2.556604521489944,1.2733770145761794,3.1839591507049447,2.143244839846289e-11
2.662893841625292,2.021718519087,4.0038159002894815,2.241364788744025e-11
2.1885934476736235,4.826855948024282,3.9977105574661884,4.411567623623008e-11
1.882852822082537,3.496211729912712,4.617179840986482,2.0608516003910173e-11
4.4415193340983805,4.771901253756926,2.524443071318393,2.2196170114121715e-10
4.555166822606552,2.9027022418132304,4.508237510533146,4.34189584162673e-11
4.1218366796070764,4.341853635133155,3.963784419462999,7.602074278129543e-11
4.560257643084695,3.8801513141633612,2.9363525677987314,1.36964445659704e-10
3.8885114907192793,3.432676276892944,2.318222614204405,1.6576474180704078e-10
3.222074739895154,4.771527315457474,4.93560270041351,4.2121016220807816e-11
1.7706333774991334,4.188829255640595,2.649997440346646,7.048822884043102e-11
3.0711271317305786,2.4998246390351624,2.850041313903932,6.307993400552229e-11
4.654237536265978,4.357230950672697,1.0870113483835984,1.145452726593358e-09
1.9866892879892424,1.8031415686725105,3.4081273767240416,2.0583268635917754e-11
2.7281733202024814,2.587788238815382,3.2790863340127427,4.3820889825468575e-11
1.6639614469510278,4.709422526261781,4.416779129086158,2.6809317310010888e-11
3.687512096640452,1.2846123730062167,2.2968697064219263,5.992651703504885e-11
4.119053269813186,1.7051984909371614,1.977469705355559,1.1987782996797131e-10
4.486264382910827,1.2756215906741404,2.9312051265882753,4.4452941523023235e-11
4.71361975275588,1.9016732947594988,4.726440219338754,2.677986088695268e-11
3.351076652538512,2.0007928093571263,3.4203374706209484,3.825029296202668e-11
1.628639713768694,4.577697590686326,3.4623351526438624,4.150688215276404e-11
1.600452900274353,2.638373628425645,1.6047216931695312,1.0943744630102956e-10
2.1281051839569947,1.5062723073570488,1.740321863803068,7.063559878569689e-11
2.0445285660844266,1.1592592867585165,3.4333983798052237,1.3418734902617405e-11
3.3492601831121074,1.2806156092601193,2.576532998412759,4.3120368334144605e-11
1.6714946986118133,2.97389522772502,4.829746700674791,1.422224516627116e-11
3.3802672140278918,1.3979533380370341,3.159980833997051,3.1583555131954494e-11
1.709889482081227,4.345770840473793,4.746452994351447,2.2013175508761243e-11
1.7851788604616927,2.845433607119241,2.23675807184822,6.77607755158424e-11
3.2894752727984558,1.0055878228519082,4.858261386827696,9.353433859414765e-12
1.4963734900002503,2.6083559223881023,2.1558078892986527,5.604965537733532e-11
4.143898717833329,2.7652062772765937,1.2000709254206305,5.310177527516229e-10
3.1720504164002654,1.6084344728190452,4.747543784220957,1.510746854957595e-11
