k,x,target
1.0443869951295524,1.7644956281391146,1.6258206409299778
1.0070791638002756,1.2341906587238891,0.7670048762803975
1.6202204795855506,2.7472420695519384,6.114176597946095
2.2670445942833557,3.8811865901172364,17.074937070602992
3.6073795679297174,4.29764689820391,33.313733407935366
4.341001045021759,2.790037435753905,16.89584651944339
2.942284810500945,1.4689314707946952,3.17437174483144
1.8070138786825125,1.6964153773127686,2.6001349773189117
1.9039043522618524,4.4109904020756385,18.521977682304538
3.567244049359687,3.104390717917594,17.18919660588723
4.699937469846475,2.953669141157756,20.501506517679132
4.653051444448443,2.5211056189384866,14.787335934874816
1.148764240721702,1.3210356345703484,1.0023744265123011
2.261181267778547,4.19696951540511,19.914848769974068
2.2298099264005375,4.820625628369852,25.908642559363617
3.8658417192919856,1.6832129989503368,5.476362976756
1.1771962671047858,2.3696739944601113,3.3051873780704852
4.9636364482293125,4.148996907369478,42.7224540653688
1.8835081237441265,1.8277746609496237,3.14617449864713
3.56626984547274,1.5882489808920779,4.498019940819542
2.357087797695474,3.7692062636506702,16.743474005822414
4.730896126705144,4.364621941679511,45.06160747393842
2.389770847188474,2.3390953093077713,6.537656515350494
4.614133449000514,2.942465143069852,19.974816987114043
2.2881795062677432,1.8758148573753242,4.025687310428483
1.8435896708022392,3.168024093827051,9.251480170469879
2.693419023949472,1.8071626496694946,4.3981335401643795
1.2845676009092815,2.670164830320532,4.579342336802025
2.323301845268063,4.45543415189519,23.059808728328825
4.7777574581895905,1.5543280392956071,5.7713772940824715
2.4901039590938185,4.369689724576055,23.77325692714249
1.6301310914835176,1.128328779759706,1.0376810036929547
4.309616512475713,2.763552604755749,16.456751173518466
1.54488689861568,1.8019232121883544,2.5080676943923255
1.0002351945926091,3.7308276038669823,6.961174150429096
1.935161179430898,4.3142523416413265,18.00935813426988
2.0070079211356155,3.746219041112937,14.083332237091959
1.9248845404551296,1.5825065210423852,2.410270056577447
4.15432165081473,4.066714757501394,34.35243660226642
1.8619031316940489,1.2488834792992218,1.4520144154406722
2.8308345671336568,2.3663057541374783,7.925491673544187
2.7263943407523983,2.421435554790701,7.992902327958277
2.9462084356935385,3.1501677737996334,14.618433677288447
3.0592902935987953,4.678907667230579,33.48726223739585
1.0678586111570136,3.2684092913082647,5.7036994306946465
2.119194158847431,2.269701047775847,5.4585597544388875
4.421382045206911,4.99123899328203,55.07376645819969
3.273470741589672,1.3027052710404803,2.777607068355819
1.7481606331563078,1.4083102325757317,1.7335964544674305
3.0632117817918494,3.4545419309193908,18.277970204345745
2.5375894815886664,4.200821049325389,22.39029072468876
4.294232690690729,2.4280116956187694,12.657767868676299
4.469883330425902,1.724407000651079,6.645776728076963
4.196262684935349,4.981517033459374,52.0662034114238
2.083476637496153,4.603756275770264,22.079197642160416
1.5750017221257493,2.5776893183948597,5.232535471273441
1.0748782008174325,4.224376133828292,9.590790849783346
2.3148212402609145,2.7237444786066654,8.586579372392169
2.4081091906890597,1.7994677018350806,3.8988299322890825
1.2732787394843261,3.1898401826646294,6.477856767165104
2.6536058784525096,2.006099617664529,5.339633083635533
2.5287072317896615,3.3907366707740776,14.536393851149226
3.705607273412803,4.811367395068607,42.89102609354633
2.2287785458173572,4.463262001201075,22.199422960007038
4.270486724480993,2.614325685086695,14.593745219358173
1.2711448631358593,4.933147628145326,15.467256069334846
1.6913979521101612,2.9986289476620582,7.604335388877671
1.982494408893504,3.1199885430035934,9.649125921190862
3.083425025472907,3.9293797778068527,23.80408041509979
4.31593147207075,4.536248565470441,44.40565009252584
2.1058574270044765,3.175300113059116,10.616186192506998
4.558762153723828,3.957118267849198,35.69233818315851
2.135941596123368,4.794411762746493,24.548787026041662
