q,Ef,target
4.032501664131777,2.477025295046782,9.988608624372654
3.013274045454938,1.845304013115348,5.560406688694316
1.7080666525240273,2.9076190744524455,4.9664071793149995
4.3301460214360326,1.3289374262433307,5.754493108984999
3.067299122401473,1.9506374613479327,5.983188573315951
4.707678176578034,1.3339911008566805,6.280000793252301
4.887226200184533,2.511007839461125,12.271863301883167
3.7005193958202542,1.9246173579174086,7.122083862505703
2.248400431949345,4.59693620631282,10.335753351917326
3.302735083562713,1.6897551767697228,5.580813704949077
2.4851458761306584,3.3442425303859467,8.310930533169394
2.076016124376404,1.1172784098238653,2.3194879942119724
2.8167191014292774,1.8846556420202796,5.30854554649498
2.655108499094315,4.041719966819009,10.731205034860345
3.442357085707294,2.0325158009923068,6.996645169357904
4.414470608148588,1.5592540666058525,6.883281247667697
2.398534872575031,1.502171528428649,3.6030107955254493
2.7956479740566893,2.884079688709367,8.06287153875839
4.332532320416011,2.582555870092765,11.189006776456997
1.7635886928178586,3.61315290162249,6.37211560272346
1.5018825130964228,3.240776645465178,4.867265772675436
3.176019047110852,1.3126769434940404,4.169086975240328
4.324456897995667,1.108653825193688,4.794325681848126
2.4933338662494307,3.0239999395303787,7.539841460767324
3.527644628408696,4.623826175962488,16.311215572329594
1.0392945578404542,2.2112592731848557,2.298149728595259
4.636380068063934,3.42624230172889,15.88536151609332
3.41354767522423,4.487722292655105,15.319053999144787
2.0344610731731025,4.765183773934297,9.694580894585425
1.3129149588568656,1.1889973500998754,1.5610524069873002
1.897782095805593,1.8798302732407812,3.5675082357096906
3.5151699956572053,1.6711501531182602,5.8743768764792526
3.676675087580725,4.984713940523008,18.32717356383729
3.8414281682007703,3.6318728534247025,13.951578682469359
4.385519030841321,2.2468819371169646,9.85374349528006
3.141899037587863,2.903995111100388,9.12405944472617
1.998907129223979,2.3342573475084385,4.665963653378073
4.881469949495586,1.3598316683075184,6.637977425215601
1.453087245826124,4.062026034780006,5.90247822335249
2.175034909410707,2.0216617912890107,4.39718497107538
3.853892091840421,2.948896367126183,11.364728388924545
3.422542033745662,3.3852842073547107,11.586277495846863
3.175458601473561,4.214173253552653,13.381932706093595
1.4578808401746017,3.669769361276244,5.350086439664422
4.9175087470732635,3.0496970480453576,14.996911909686556
1.5913597978667737,1.574987188122709,2.5063712933337126
2.320978860023961,2.5961027583233984,6.025499620518502
2.526742345984676,1.4731430006317279,3.7222528013871172
1.938429073922737,1.4349085286262464,2.781468410308812
2.1625155158692793,3.0866073231377227,6.674836227681068
3.794940077755882,3.096982995776924,11.752864890802325
4.073933257841043,3.117019220528504,12.698528267840837
3.3494950025540993,2.899269755523261,9.711089557181408
4.450587433458686,1.6165369058691685,7.194538838983509
3.8607904015541767,3.907436584663777,15.085793660751545
2.850576191938147,3.916202623010048,11.163433959958166
3.3997274836169584,3.074204513724898,10.451457575569844
2.7683477130218193,2.3066570401976243,6.385628741956772
4.802366638767502,3.299200396948912,15.843969920915955
2.9747097336716313,2.5123358542903897,7.4734699200098555
1.232544812625151,3.799318798430245,4.6828306765144205
1.1372538360858169,3.222286087408951,3.6645572138717877
2.6972804846059386,2.824297790591413,7.617923313277887
1.3032734745862307,1.921005224720064,2.5035951539192207
4.52687044924866,4.279091931895725,19.37089481611712
4.751749256568454,4.906130537738112,23.312702135324862
1.4991468024836467,1.641655794956487,2.4610830357877664
3.093018049872657,1.9895595412284015,6.1537435723158085
2.3426311210272432,4.652972999528016,10.900199353993811
4.500129370522133,1.5292166958186533,6.881672966746333
1.157170137618662,3.6446101159046185,4.2174339893877155
4.861197874270807,4.493669447719709,21.84461636693072
4.433098870143233,4.1771671220914826,18.51779484934321
1.352321506462253,2.5708373746831845,3.4765986714010273
4.40749847154872,2.814798435254905,12.406219801103724
3.7483100113064,3.4061541135650475,12.767321563928343
2.005559488441093,4.729638156831021,9.485570682325497
3.3821097406829925,2.8835344442571147,9.752429931516907
1.9450569440735617,2.5076210371838474,4.877465711479389
1.9584985140645101,3.783307256951888,7.4096016409897505
3.890153940582492,2.5778966729767583,10.028414900795033
1.9175936649266894,3.1394149196494676,6.02012216149615
2.6915751362114007,4.359716090869192,11.73450343112428
4.982895043675157,4.379524761219455,21.82271222633305
4.895953145879412,3.3397848182183076,16.351429987316223
3.64224246469263,1.4572949149301886,5.307821422739367
3.545717592474992,3.8281988890766376,13.573712148492254
1.8827425004758829,2.475501176116864,4.660731274253254
1.5300764755834426,4.375622004371504,6.69503629493411
1.2578053360581194,1.2420414057575773,1.5622463077670086
2.3077590331637525,3.612479605215787,8.336732441056558
2.3641670302458944,2.615091289929642,6.182512608734867
2.9736060454278186,3.2389972312412003,9.6315017479428
2.12185580692875,4.334760189180361,9.197736079055916
3.126378362341249,2.3477905269959547,7.340081502909911
1.9584986630500123,1.2694792065483878,2.486273328794808
1.705982091318778,1.2882464287546003,2.19772533666072
2.5927290701985903,2.35144272105725,6.096653899792007
4.849662455714465,2.001765747032524,9.70788818851885
1.915558842870853,1.687857698726034,3.2331907403023026
